"","patient","Image_Metadata_Plate","Image_Metadata_GeneID","Destination.Well","Signal"
"1","P4","P11","Neu. ctrl.","B02",713
"2","P4","P11","ZNF189","B03",577
"3","P4","P11","NAA15","B04",1043
"4","P4","P11","SP3","B05",807
"5","P4","P11","SUPT4H1","B06",747
"6","P4","P11","AEBP2","B07",613
"7","P4","P11","HOXC6","B08",649
"8","P4","P11","FOXP4","B09",780
"9","P4","P11","PTMA","B10",788
"10","P4","P11","PSMD9","B11",575
"11","P4","P11","PLIN1","C02",1296
"12","P4","P11","SUPT6H","C03",748
"13","P4","P11","SUPT6H","C03",748
"14","P4","P11","HOXC6","C04",630
"15","P4","P11","AEBP2","C05",590
"16","P4","P11","AEBP2","C05",590
"17","P4","P11","MLXIPL","C06",969
"18","P4","P11","MED30","C07",532
"19","P4","P11","ZNF189","C08",556
"20","P4","P11","SUPT6H","C09",756
"21","P4","P11","E4F1","C10",708
"22","P4","P11","Neu. ctrl.","C11",640
"23","P4","P11","Neu. ctrl.","D02",750
"24","P4","P11","MLXIPL","D03",883
"25","P4","P11","SUPT4H1","D04",732
"26","P4","P11","ZFPM2","D05",625
"27","P4","P11","Neu. ctrl.","D06",717
"28","P4","P11","FOXP4","D07",827
"29","P4","P11","BPNT1","D08",667
"30","P4","P11","JUNB","D09",704
"31","P4","P11","SP3","D10",748
"32","P4","P11","SP3","D10",748
"33","P4","P11","ARID1B","D11",968
"34","P4","P11","PLIN1","E02",1370
"35","P4","P11","MED30","E03",576
"36","P4","P11","NAA15","E04",1044
"37","P4","P11","PTMA","E05",773
"38","P4","P11","JUNB","E06",689
"39","P4","P11","ZNF189","E07",595
"40","P4","P11","ARID1B","E08",964
"41","P4","P11","SUPT4H1","E09",723
"42","P4","P11","MLXIPL","E10",1028
"43","P4","P11","ZFPM2","E11",735
"44","P4","P11","Neu. ctrl.","F02",668
"45","P4","P11","HOXC6","F03",609
"46","P4","P11","HOXC6","F03",609
"47","P4","P11","FOXP4","F04",867
"48","P4","P11","PSMD9","F05",629
"49","P4","P11","E4F1","F06",674
"50","P4","P11","SUPT6H","F07",812
"51","P4","P11","NAA15","F08",1029
"52","P4","P11","Neu. ctrl.","F09",743
"53","P4","P11","BPNT1","F10",609
"54","P4","P11","BPNT1","F10",609
"55","P4","P11","E4F1","F11",692
"56","P4","P11","PLIN1","G02",1398
"57","P4","P11","ZFPM2","G03",675
"58","P4","P11","BPNT1","G04",725
"59","P4","P11","JUNB","G05",698
"60","P4","P11","ARID1B","G06",889
"61","P4","P11","SP3","G07",814
"62","P4","P11","PTMA","G08",892
"63","P4","P11","AEBP2","G09",602
"64","P4","P11","PSMD9","G10",590
"65","P4","P11","PSMD9","G10",590
"66","P4","P11","MED30","G11",523
"67","P4",NA,"","",NA
"68","P4",NA,"","",NA
"69","P4",NA,"","",NA
